Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
CNS,"Cohn & Steers Inc",60.18,-1.03,-1.68%,61.11,61.19,59.64,221200,07/31/20
CNSL,"Consolidated Communications Holdings Inc",7.3,-0.11,-1.48%,7.41,7.49,7.15,869000,07/31/20
CNST,"Constellation Pharmaceuticals Inc",26.89,0.17,+0.64%,26.5,27.03,25.63,746100,07/31/20
CNTG,"Centogene N.V.",12.7,-0.18,-1.40%,13.14,13.21,12.51,94800,07/31/20
CNTY,"Century Casinos IN",4.03,-0.14,-3.36%,4.15,4.16,3.96,275000,07/31/20
CNX,"CNX Resources Corp",9.65,0.31,+3.32%,9.42,9.67,9.1,5720500,07/31/20
CNXN,"PC Connection Inc",43.7,0.12,+0.28%,43.66,43.99,42.01,95200,07/31/20
CODX,"Co-Diagnostics Inc",24,1.54,+6.86%,22.38,24.88,22.38,5747700,07/31/20
COFS,"Choiceone Financial",28.5,0,0.00%,27.99,28.78,27.62,12800,07/31/20
COHU,"Cohu Inc",18.83,-0.6,-3.09%,19.43,19.5,18.48,310600,07/31/20
COKE,"Coca Cola Bot Cons",229.56,2.56,+1.13%,228.41,230.69,226,51700,07/31/20
COLB,"Columbia Banking Sys",28.93,-0.11,-0.38%,28.96,29.02,27.93,477500,07/31/20
COLL,"Collegium Pharma",15.78,-0.45,-2.77%,16.29,16.49,15.66,500700,07/31/20
CONN,"Conn's Inc",9.96,0.1,+1.01%,9.81,9.98,9.56,314000,07/31/20
COOP,"Mr.Cooper Group Inc",16.33,0.35,+2.19%,16.29,16.94,16.11,1815200,07/31/20
CORE,"Core Mark Holding",26.52,0.009999999999998,+0.04%,26.28,26.55,26.02,243700,07/31/20
CORR,"Corenergy Infrastructure Trust Inc",8.76,-0.37,-4.05%,8.9,9.17,8.75,204400,07/31/20
CORT,"Corcept Therapeutics",14.95,-1.13,-7.03%,16.14,16.17,14.86,1742000,07/31/20
COWN,"Cowen Group Inc",16.47,-0.19,-1.14%,16.64,16.83,15.96,431000,07/31/20
CPF,"Central Pacific Financial Company",15.56,-0.02,-0.13%,15.5,15.58,15.03,209800,07/31/20
CPK,"Chesapeake Utilities Corp",84.49,-0.37,-0.44%,84.54,84.64,82.32,68500,07/31/20
CPLG,"Corepoint Lodging Inc",5.59,0.0099999999999998,+0.18%,5.51,5.71,5.18,438500,07/31/20
CPRX,"Catalyst Pharm Inc",4.3,-0.4,-8.51%,4.26,4.49,3.92,4604200,07/31/20
CPS,"Cooper Std Hld Inc",10.71,-0.67,-5.89%,11.23,11.36,10.65,200800,07/31/20
CPSI,"Computer Programs",24.68,0.22,+0.90%,24.4,24.79,24.31,80300,07/31/20
CRAI,"Cra International",41.77,-1.7,-3.91%,43.47,43.62,40.01,71000,07/31/20
CRBP,"Corbus Pharma",6.27,-0.4,-6.00%,6.7,6.78,6.19,1702000,07/31/20
CRD.A,"Crawford Co. Cl A",7.33,0.19,+2.66%,7.04,7.35,7,96800,07/31/20
CRK,"Comstock Resources",5.36,0.1,+1.90%,5.26,5.38,5.12,1011800,07/31/20
CRMD,"Cormedix Inc",4.45,-0.14,-3.05%,4.76,4.76,4.41,418300,07/31/20
CRMT,"America's Car-Mart",95.16,-1.34,-1.39%,95.99,96.2,92.5,51500,07/31/20
CRNC,"Cerence Inc",39.66,-0.52,-1.29%,40.62,41.5,38.06,960700,07/31/20
CRNX,"Crinetics Pharmaceuticals Inc",13.88,-0.76,-5.19%,14.58,14.78,13.6,116100,07/31/20
CROX,"Crocs Inc",35.94,-1.6,-4.26%,37.86,38.62,35.17,3256400,07/31/20
CRS,"Carpenter Technology Corp",22.36,-1.24,-5.25%,23.29,23.39,21.36,10557100,07/31/20
CRTX,"Cortexyme Inc",39.85,-0.41,-1.02%,40.3,41.4,39,81000,07/31/20
CRVL,"Corvel Cp",79.49,0.47,+0.59%,78.85,79.79,77.37,76900,07/31/20
CRY,Cryolife,19.41,0.51,+2.70%,19.85,20.9,18.29,616200,07/31/20
CSBR,"Champions Oncolog",8.74,-0.39,-4.27%,9.14,9.14,8.7,36500,07/31/20
CSGS,"C S G Sys Intl",42.13,0.31,+0.74%,41.9,42.14,40.99,181900,07/31/20
CSII,"Cardiovascular Syst",30.48,-0.59,-1.90%,31.08,31.08,29.9,235600,07/31/20
CSOD,"Cornerstone Ondemand",35.51,-0.23,-0.64%,35.97,35.97,34.57,386800,07/31/20
CSPR,"Casper Sleep Inc",9.23,-0.039999999999999,-0.43%,9.26,9.36,8.85,173900,07/31/20
CSTE,"Caesarstone Sdot-Yam",11.47,0,0.00%,11.5,11.58,11.27,74500,07/31/20
CSTL,"Castle Biosciences Inc",38.72,-0.58,-1.48%,39.13,39.49,37.86,72800,07/31/20
CSTR,"Capstar Financial Holdings Inc",10.15,-0.09,-0.88%,10.18,10.34,9.9,63500,07/31/20
CSV,"Carriage Services",22.11,-0.99,-4.29%,22.77,22.88,21.2,235800,07/31/20
CSWI,"Csw Industrials Inc",66.79,0.090000000000003,+0.13%,66.3,67.02,64.72,66700,07/31/20
CTB,"Cooper Tire & Rubber Company",31.06,-0.77,-2.42%,31.6,31.6,30.47,651700,07/31/20
CTBI,"Community TR Bancp",30.61,-0.86,-2.73%,31.27,31.33,30.29,70400,07/31/20
CTMX,"Cytomx Thera",7.01,-0.43,-5.78%,7.42,7.44,6.95,577100,07/31/20
CTO,"Consolidated-Tomoka Land Company",39.64,-0.37,-0.92%,39.75,40.42,39.49,26100,07/31/20
CTRE,"Caretrust REIT Inc",18.02,-0.080000000000002,-0.44%,18,18.05,17.48,939700,07/31/20
CTRN,"Citi Trends Inc",17.22,-0.17,-0.98%,17.25,17.42,16.92,103400,07/31/20
CTS,"Cts Corp",19.86,-0.81,-3.92%,20.47,20.99,19.55,175100,07/31/20
CTSO,"Cytosorbents Cor",9.57,-0.15,-1.54%,9.8,9.96,9.43,696000,07/31/20
CTT,"Catchmark Timber Trust Inc",9.76,-0.24,-2.40%,9.97,10,9.54,176100,07/31/20
CUB,"Cubic Corp",42,0,0.00%,41.55,42.06,40.98,356200,07/31/20
CUBI,"Customers Bancorp",11.85,-0.12,-1.00%,12.16,12.16,11.38,263900,07/31/20
CUE,"Cue Biopharma Inc",18.91,-0.85,-4.30%,19.62,20,18.74,287700,07/31/20
CURO,"Curo Group Holdings Corp",6.99,-0.36,-4.90%,7.29,7.35,6.92,314000,07/31/20
CUTR,"Cutera Inc",14.23,0.1,+0.71%,14.09,14.26,13.8,145300,07/31/20
CVA,"Covanta Holding Corp",9.84,0.3,+3.14%,9.99,10.15,9.46,891100,07/31/20
CVBF,"Cvb Financial Corp",18.07,0.039999999999999,+0.22%,17.97,18.08,17.62,720300,07/31/20
CVCO,"Cavco Inds Inc",200.33,-2.67,-1.32%,200.5,207,191.89,73200,07/31/20
CVCY,"Central Vly Cmty Bcp",13.14,-0.62,-4.51%,13.69,13.69,13.02,29000,07/31/20
CVET,"Covetrus Inc",22.16,1.32,+6.33%,20.94,23.16,20.77,1092000,07/31/20
CVGW,"Calavo Growers Inc",57.77,-1.11,-1.89%,58.51,58.77,56.59,177600,07/31/20
